;;;;;;;;;;Ticket Médio por venda;R$ 999,41;;;;
4179;2024-12-09;2024;12;9;12;Cliente_12;Centro-Oeste;Varejo;Produto_92;Serviços;3; R$ 1.025,14 ; R$ 3.075,42 ;Cartão;Cancelada
4180;2024-08-13;2024;8;13;726;Cliente_726;Sul;Varejo;Produto_31;Serviços;3; R$ 239,11 ; R$ 717,33 ;Transferência;Cancelada
4181;2024-01-24;2024;1;24;881;Cliente_881;Sudeste;Varejo;Produto_123;Serviços;3; R$ 681,65 ; R$ 2.044,95 ;Boleto;Pendente
4182;2024-05-31;2024;5;31;130;Cliente_130;Nordeste;Varejo;Produto_64;Serviços;4; R$ 1.777,05 ; R$ 7.108,20 ;Pix;Concluída
4183;2024-07-22;2024;7;22;345;Cliente_345;Nordeste;Atacado;Produto_144;Serviços;8; R$ 516,19 ; R$ 4.129,52 ;Pix;Pendente
4184;2024-07-20;2024;7;20;97;Cliente_97;Sudeste;Online;Produto_54;Acessórios;4; R$ 974,03 ; R$ 3.896,12 ;Pix;Concluída
4185;2024-01-10;2024;1;10;1152;Cliente_1152;Nordeste;Atacado;Produto_7;Acessórios;6; R$ 1.480,01 ; R$ 8.880,06 ;Transferência;Cancelada
4186;2024-07-29;2024;7;29;522;Cliente_522;Nordeste;Atacado;Produto_12;Acessórios;2; R$ 589,21 ; R$ 1.178,42 ;Pix;Concluída
4187;2024-05-19;2024;5;19;682;Cliente_682;Centro-Oeste;Corporativo;Produto_28;Software;1; R$ 1.512,82 ; R$ 1.512,82 ;Cartão;Pendente
4188;2024-04-18;2024;4;18;242;Cliente_242;Sul;Corporativo;Produto_44;Eletrônicos;9; R$ 268,01 ; R$ 2.412,09 ;Cartão;Cancelada
4189;2024-05-11;2024;5;11;107;Cliente_107;Sul;Atacado;Produto_146;Eletrônicos;8; R$ 521,21 ; R$ 4.169,68 ;Cartão;Pendente
4190;2024-12-31;2024;12;31;256;Cliente_256;Norte;Varejo;Produto_52;Software;8; R$ 1.880,52 ; R$ 15.044,16 ;Pix;Pendente
4191;2024-09-28;2024;9;28;1082;Cliente_1082;Sul;Online;Produto_125;Serviços;9; R$ 1.381,86 ; R$ 12.436,74 ;Transferência;Pendente
4192;2024-07-12;2024;7;12;570;Cliente_570;Norte;Corporativo;Produto_35;Serviços;10; R$ 769,15 ; R$ 7.691,50 ;Transferência;Pendente
4193;2024-08-28;2024;8;28;119;Cliente_119;Sudeste;Varejo;Produto_38;Eletrônicos;5; R$ 1.705,38 ; R$ 8.526,90 ;Cartão;Cancelada
4194;2024-10-31;2024;10;31;4;Cliente_4;Nordeste;Atacado;Produto_92;Serviços;4; R$ 883,99 ; R$ 3.535,96 ;Pix;Concluída
4195;2024-07-05;2024;7;5;627;Cliente_627;Norte;Corporativo;Produto_5;Serviços;4; R$ 1.170,11 ; R$ 4.680,44 ;Transferência;Cancelada
4196;2024-07-10;2024;7;10;673;Cliente_673;Nordeste;Corporativo;Produto_108;Acessórios;8; R$ 1.949,06 ; R$ 15.592,48 ;Pix;Cancelada
4197;2024-02-20;2024;2;20;106;Cliente_106;Sul;Atacado;Produto_103;Equipamentos;4; R$ 1.339,55 ; R$ 5.358,20 ;Cartão;Pendente
4198;2024-11-27;2024;11;27;646;Cliente_646;Centro-Oeste;Varejo;Produto_64;Software;3; R$ 538,02 ; R$ 1.614,06 ;Boleto;Pendente
4199;2024-09-20;2024;9;20;790;Cliente_790;Nordeste;Atacado;Produto_3;Serviços;5; R$ 330,33 ; R$ 1.651,65 ;Pix;Concluída
4200;2024-07-22;2024;7;22;751;Cliente_751;Norte;Online;Produto_49;Serviços;3; R$ 1.486,18 ; R$ 4.458,54 ;Transferência;Concluída
4201;2024-05-10;2024;5;10;595;Cliente_595;Centro-Oeste;Corporativo;Produto_78;Equipamentos;1; R$ 204,12 ; R$ 204,12 ;Pix;Pendente
4202;2024-11-30;2024;11;30;1003;Cliente_1003;Sul;Corporativo;Produto_10;Software;4; R$ 1.350,49 ; R$ 5.401,96 ;Cartão;Cancelada
4203;2024-11-04;2024;11;4;855;Cliente_855;Sudeste;Online;Produto_100;Software;8; R$ 1.077,34 ; R$ 8.618,72 ;Transferência;Pendente
4204;2024-01-17;2024;1;17;478;Cliente_478;Nordeste;Online;Produto_6;Software;10; R$ 782,19 ; R$ 7.821,90 ;Transferência;Concluída
4205;2024-10-24;2024;10;24;823;Cliente_823;Norte;Varejo;Produto_133;Eletrônicos;9; R$ 1.809,80 ; R$ 16.288,20 ;Pix;Concluída
4206;2024-11-23;2024;11;23;1018;Cliente_1018;Sudeste;Atacado;Produto_9;Equipamentos;6; R$ 870,04 ; R$ 5.220,24 ;Boleto;Concluída
4207;2024-08-20;2024;8;20;1030;Cliente_1030;Norte;Corporativo;Produto_148;Acessórios;9; R$ 923,50 ; R$ 8.311,50 ;Cartão;Pendente
4208;2024-04-28;2024;4;28;656;Cliente_656;Sul;Atacado;Produto_79;Eletrônicos;9; R$ 935,94 ; R$ 8.423,46 ;Cartão;Concluída
4209;2024-08-13;2024;8;13;541;Cliente_541;Centro-Oeste;Corporativo;Produto_116;Eletrônicos;9; R$ 1.720,84 ; R$ 15.487,56 ;Boleto;Pendente
4210;2024-10-08;2024;10;8;672;Cliente_672;Norte;Atacado;Produto_31;Serviços;8; R$ 1.394,59 ; R$ 11.156,72 ;Transferência;Cancelada
4211;2024-11-28;2024;11;28;1094;Cliente_1094;Nordeste;Online;Produto_148;Acessórios;9; R$ 746,72 ; R$ 6.720,48 ;Cartão;Cancelada
4212;2024-05-29;2024;5;29;829;Cliente_829;Norte;Online;Produto_144;Software;1; R$ 1.283,59 ; R$ 1.283,59 ;Pix;Concluída
4213;2024-05-22;2024;5;22;953;Cliente_953;Nordeste;Corporativo;Produto_107;Serviços;4; R$ 142,19 ; R$ 568,76 ;Cartão;Cancelada
4214;2024-09-09;2024;9;9;658;Cliente_658;Norte;Corporativo;Produto_32;Equipamentos;6; R$ 1.139,66 ; R$ 6.837,96 ;Pix;Pendente
4215;2024-06-05;2024;6;5;1122;Cliente_1122;Norte;Varejo;Produto_16;Software;2; R$ 556,55 ; R$ 1.113,10 ;Cartão;Pendente
4216;2024-05-02;2024;5;2;757;Cliente_757;Norte;Varejo;Produto_109;Software;7; R$ 109,37 ; R$ 765,59 ;Cartão;Pendente
4217;2024-09-25;2024;9;25;996;Cliente_996;Nordeste;Atacado;Produto_144;Acessórios;3; R$ 1.176,94 ; R$ 3.530,82 ;Pix;Cancelada
4218;2024-04-15;2024;4;15;626;Cliente_626;Sudeste;Online;Produto_125;Acessórios;3; R$ 917,84 ; R$ 2.753,52 ;Boleto;Pendente
4219;2024-04-09;2024;4;9;236;Cliente_236;Sul;Corporativo;Produto_83;Software;10; R$ 971,27 ; R$ 9.712,70 ;Transferência;Cancelada
4220;2024-08-24;2024;8;24;751;Cliente_751;Centro-Oeste;Atacado;Produto_124;Eletrônicos;9; R$ 1.804,65 ; R$ 16.241,85 ;Cartão;Cancelada
4221;2024-12-22;2024;12;22;661;Cliente_661;Nordeste;Online;Produto_15;Equipamentos;4; R$ 1.948,36 ; R$ 7.793,44 ;Transferência;Pendente
4222;2024-12-31;2024;12;31;247;Cliente_247;Sul;Varejo;Produto_28;Equipamentos;9; R$ 661,15 ; R$ 5.950,35 ;Pix;Concluída
4223;2024-03-21;2024;3;21;42;Cliente_42;Sudeste;Corporativo;Produto_16;Eletrônicos;5; R$ 141,31 ; R$ 706,55 ;Pix;Concluída
4224;2024-07-22;2024;7;22;412;Cliente_412;Sul;Corporativo;Produto_91;Serviços;2; R$ 829,84 ; R$ 1.659,68 ;Transferência;Concluída
4225;2024-08-17;2024;8;17;897;Cliente_897;Centro-Oeste;Corporativo;Produto_27;Equipamentos;2; R$ 1.981,41 ; R$ 3.962,82 ;Transferência;Concluída
4226;2024-05-31;2024;5;31;668;Cliente_668;Nordeste;Corporativo;Produto_41;Acessórios;1; R$ 832,66 ; R$ 832,66 ;Cartão;Cancelada
4227;2024-11-18;2024;11;18;603;Cliente_603;Norte;Corporativo;Produto_105;Equipamentos;4; R$ 1.033,21 ; R$ 4.132,84 ;Transferência;Concluída
4228;2024-06-27;2024;6;27;344;Cliente_344;Sudeste;Atacado;Produto_19;Equipamentos;8; R$ 88,60 ; R$ 708,80 ;Boleto;Cancelada
4229;2024-08-03;2024;8;3;137;Cliente_137;Sudeste;Corporativo;Produto_33;Software;6; R$ 1.030,34 ; R$ 6.182,04 ;Transferência;Concluída
4230;2024-09-19;2024;9;19;580;Cliente_580;Nordeste;Varejo;Produto_53;Equipamentos;7; R$ 1.617,66 ; R$ 11.323,62 ;Cartão;Pendente
4231;2024-12-25;2024;12;25;221;Cliente_221;Sudeste;Varejo;Produto_48;Equipamentos;6; R$ 1.425,86 ; R$ 8.555,16 ;Cartão;Concluída
4232;2024-08-29;2024;8;29;528;Cliente_528;Nordeste;Varejo;Produto_35;Serviços;1; R$ 1.409,11 ; R$ 1.409,11 ;Cartão;Cancelada
4233;2024-07-26;2024;7;26;885;Cliente_885;Sudeste;Online;Produto_2;Software;7; R$ 889,32 ; R$ 6.225,24 ;Boleto;Cancelada
4234;2024-11-29;2024;11;29;367;Cliente_367;Norte;Corporativo;Produto_145;Software;5; R$ 330,41 ; R$ 1.652,05 ;Boleto;Pendente
4235;2024-09-13;2024;9;13;459;Cliente_459;Sul;Varejo;Produto_120;Acessórios;3; R$ 1.891,19 ; R$ 5.673,57 ;Cartão;Pendente
4236;2024-09-22;2024;9;22;1135;Cliente_1135;Norte;Online;Produto_116;Serviços;2; R$ 494,73 ; R$ 989,46 ;Boleto;Concluída
4237;2024-08-15;2024;8;15;458;Cliente_458;Centro-Oeste;Corporativo;Produto_76;Software;7; R$ 1.556,02 ; R$ 10.892,14 ;Pix;Pendente
4238;2024-03-02;2024;3;2;274;Cliente_274;Norte;Corporativo;Produto_3;Software;7; R$ 238,22 ; R$ 1.667,54 ;Pix;Pendente
4239;2024-03-21;2024;3;21;18;Cliente_18;Centro-Oeste;Online;Produto_10;Acessórios;6; R$ 1.928,76 ; R$ 11.572,56 ;Transferência;Cancelada
4240;2024-03-05;2024;3;5;1010;Cliente_1010;Nordeste;Online;Produto_150;Acessórios;5; R$ 592,80 ; R$ 2.964,00 ;Transferência;Cancelada
4241;2024-11-01;2024;11;1;355;Cliente_355;Nordeste;Corporativo;Produto_64;Software;6; R$ 1.131,41 ; R$ 6.788,46 ;Transferência;Concluída
4242;2024-06-20;2024;6;20;72;Cliente_72;Sudeste;Varejo;Produto_94;Eletrônicos;7; R$ 1.303,35 ; R$ 9.123,45 ;Transferência;Cancelada
4243;2024-10-26;2024;10;26;915;Cliente_915;Nordeste;Corporativo;Produto_134;Software;6; R$ 169,60 ; R$ 1.017,60 ;Pix;Concluída
4244;2024-04-11;2024;4;11;138;Cliente_138;Sudeste;Online;Produto_86;Acessórios;3; R$ 919,60 ; R$ 2.758,80 ;Cartão;Cancelada
4245;2024-08-04;2024;8;4;136;Cliente_136;Nordeste;Varejo;Produto_51;Software;10; R$ 1.987,30 ; R$ 19.873,00 ;Transferência;Concluída
4246;2024-02-09;2024;2;9;813;Cliente_813;Sudeste;Atacado;Produto_111;Software;5; R$ 1.372,82 ; R$ 6.864,10 ;Boleto;Concluída
4247;2024-05-13;2024;5;13;290;Cliente_290;Sul;Varejo;Produto_131;Eletrônicos;3; R$ 1.696,77 ; R$ 5.090,31 ;Cartão;Concluída
4248;2024-03-26;2024;3;26;553;Cliente_553;Centro-Oeste;Corporativo;Produto_19;Acessórios;9; R$ 1.388,16 ; R$ 12.493,44 ;Pix;Concluída
4249;2024-12-03;2024;12;3;1138;Cliente_1138;Sudeste;Atacado;Produto_115;Software;10; R$ 1.761,85 ; R$ 17.618,50 ;Cartão;Concluída
4250;2024-11-03;2024;11;3;823;Cliente_823;Nordeste;Varejo;Produto_4;Acessórios;9; R$ 237,73 ; R$ 2.139,57 ;Cartão;Pendente
4251;2024-11-07;2024;11;7;1055;Cliente_1055;Norte;Online;Produto_131;Eletrônicos;9; R$ 1.616,73 ; R$ 14.550,57 ;Cartão;Pendente
4252;2024-12-30;2024;12;30;33;Cliente_33;Norte;Online;Produto_9;Acessórios;4; R$ 448,93 ; R$ 1.795,72 ;Cartão;Cancelada
4253;2024-12-29;2024;12;29;99;Cliente_99;Nordeste;Online;Produto_133;Equipamentos;6; R$ 765,78 ; R$ 4.594,68 ;Cartão;Cancelada
4254;2024-02-05;2024;2;5;378;Cliente_378;Norte;Corporativo;Produto_107;Acessórios;2; R$ 1.560,23 ; R$ 3.120,46 ;Pix;Pendente
4255;2024-02-08;2024;2;8;46;Cliente_46;Nordeste;Online;Produto_111;Equipamentos;3; R$ 1.922,39 ; R$ 5.767,17 ;Transferência;Pendente
4256;2024-12-27;2024;12;27;296;Cliente_296;Sudeste;Atacado;Produto_102;Serviços;9; R$ 247,21 ; R$ 2.224,89 ;Cartão;Pendente
4257;2024-10-13;2024;10;13;548;Cliente_548;Sudeste;Online;Produto_20;Serviços;10; R$ 1.028,31 ; R$ 10.283,10 ;Transferência;Concluída
4258;2024-04-24;2024;4;24;1186;Cliente_1186;Norte;Online;Produto_111;Software;3; R$ 20,97 ; R$ 62,91 ;Transferência;Cancelada
4259;2024-03-02;2024;3;2;725;Cliente_725;Sul;Corporativo;Produto_91;Equipamentos;8; R$ 1.436,56 ; R$ 11.492,48 ;Cartão;Concluída
4260;2024-11-15;2024;11;15;47;Cliente_47;Sudeste;Varejo;Produto_78;Serviços;5; R$ 1.960,35 ; R$ 9.801,75 ;Transferência;Pendente
4261;2024-01-21;2024;1;21;206;Cliente_206;Centro-Oeste;Corporativo;Produto_37;Acessórios;7; R$ 555,93 ; R$ 3.891,51 ;Pix;Concluída
4262;2024-01-12;2024;1;12;267;Cliente_267;Sul;Atacado;Produto_70;Acessórios;3; R$ 1.697,10 ; R$ 5.091,30 ;Transferência;Pendente
4263;2024-07-30;2024;7;30;522;Cliente_522;Norte;Atacado;Produto_146;Software;2; R$ 1.835,37 ; R$ 3.670,74 ;Pix;Pendente
4264;2024-03-01;2024;3;1;515;Cliente_515;Centro-Oeste;Varejo;Produto_83;Acessórios;6; R$ 1.097,29 ; R$ 6.583,74 ;Boleto;Cancelada
4265;2024-01-19;2024;1;19;503;Cliente_503;Centro-Oeste;Atacado;Produto_95;Software;5; R$ 1.771,33 ; R$ 8.856,65 ;Pix;Concluída
4266;2024-10-16;2024;10;16;971;Cliente_971;Centro-Oeste;Varejo;Produto_45;Eletrônicos;9; R$ 1.070,19 ; R$ 9.631,71 ;Transferência;Cancelada
4267;2024-04-10;2024;4;10;785;Cliente_785;Nordeste;Online;Produto_107;Serviços;6; R$ 774,16 ; R$ 4.644,96 ;Transferência;Pendente
4268;2024-10-02;2024;10;2;335;Cliente_335;Nordeste;Varejo;Produto_45;Equipamentos;3; R$ 495,19 ; R$ 1.485,57 ;Pix;Concluída
4269;2024-11-09;2024;11;9;521;Cliente_521;Centro-Oeste;Online;Produto_87;Equipamentos;2; R$ 1.074,20 ; R$ 2.148,40 ;Cartão;Concluída
4270;2024-08-20;2024;8;20;275;Cliente_275;Sul;Varejo;Produto_7;Equipamentos;9; R$ 55,14 ; R$ 496,26 ;Boleto;Cancelada
4271;2024-01-10;2024;1;10;607;Cliente_607;Nordeste;Corporativo;Produto_147;Software;6; R$ 1.737,74 ; R$ 10.426,44 ;Pix;Pendente
4272;2024-05-22;2024;5;22;458;Cliente_458;Norte;Online;Produto_64;Acessórios;6; R$ 1.340,55 ; R$ 8.043,30 ;Cartão;Concluída
4273;2024-12-24;2024;12;24;445;Cliente_445;Norte;Corporativo;Produto_110;Equipamentos;3; R$ 1.900,57 ; R$ 5.701,71 ;Cartão;Pendente
4274;2024-05-11;2024;5;11;865;Cliente_865;Sul;Corporativo;Produto_35;Eletrônicos;8; R$ 1.920,21 ; R$ 15.361,68 ;Cartão;Concluída
4275;2024-04-27;2024;4;27;126;Cliente_126;Centro-Oeste;Online;Produto_64;Equipamentos;5; R$ 23,04 ; R$ 115,20 ;Boleto;Pendente
4276;2024-08-16;2024;8;16;37;Cliente_37;Sul;Corporativo;Produto_89;Serviços;2; R$ 1.291,97 ; R$ 2.583,94 ;Boleto;Cancelada
4277;2024-04-18;2024;4;18;579;Cliente_579;Centro-Oeste;Atacado;Produto_34;Serviços;3; R$ 283,84 ; R$ 851,52 ;Pix;Concluída
4278;2024-04-02;2024;4;2;738;Cliente_738;Sul;Corporativo;Produto_65;Software;8; R$ 964,25 ; R$ 7.714,00 ;Transferência;Cancelada
4279;2024-02-24;2024;2;24;695;Cliente_695;Centro-Oeste;Online;Produto_48;Eletrônicos;1; R$ 346,41 ; R$ 346,41 ;Cartão;Pendente
4280;2024-01-18;2024;1;18;1078;Cliente_1078;Nordeste;Corporativo;Produto_49;Acessórios;5; R$ 875,31 ; R$ 4.376,55 ;Boleto;Cancelada
4281;2024-09-15;2024;9;15;812;Cliente_812;Sudeste;Atacado;Produto_5;Software;9; R$ 988,59 ; R$ 8.897,31 ;Transferência;Pendente
4282;2024-09-14;2024;9;14;1148;Cliente_1148;Centro-Oeste;Online;Produto_115;Equipamentos;4; R$ 749,64 ; R$ 2.998,56 ;Cartão;Pendente
4283;2024-03-31;2024;3;31;1181;Cliente_1181;Centro-Oeste;Online;Produto_62;Serviços;4; R$ 1.371,29 ; R$ 5.485,16 ;Cartão;Concluída
4284;2024-08-02;2024;8;2;650;Cliente_650;Sul;Online;Produto_106;Equipamentos;5; R$ 826,46 ; R$ 4.132,30 ;Transferência;Cancelada
4285;2024-10-18;2024;10;18;140;Cliente_140;Centro-Oeste;Corporativo;Produto_56;Equipamentos;9; R$ 1.987,46 ; R$ 17.887,14 ;Cartão;Concluída
4286;2024-05-28;2024;5;28;1176;Cliente_1176;Sudeste;Atacado;Produto_17;Eletrônicos;6; R$ 1.244,43 ; R$ 7.466,58 ;Pix;Cancelada
4287;2024-11-19;2024;11;19;898;Cliente_898;Sudeste;Varejo;Produto_23;Acessórios;3; R$ 474,72 ; R$ 1.424,16 ;Pix;Pendente
4288;2024-08-04;2024;8;4;438;Cliente_438;Nordeste;Corporativo;Produto_51;Acessórios;8; R$ 985,08 ; R$ 7.880,64 ;Transferência;Pendente
4289;2024-09-09;2024;9;9;599;Cliente_599;Sul;Varejo;Produto_123;Acessórios;10; R$ 1.888,44 ; R$ 18.884,40 ;Boleto;Concluída
4290;2024-11-26;2024;11;26;42;Cliente_42;Norte;Varejo;Produto_8;Eletrônicos;1; R$ 1.109,28 ; R$ 1.109,28 ;Pix;Concluída
4291;2024-11-01;2024;11;1;1034;Cliente_1034;Norte;Corporativo;Produto_47;Software;7; R$ 1.342,25 ; R$ 9.395,75 ;Cartão;Pendente
4292;2024-02-25;2024;2;25;1001;Cliente_1001;Sudeste;Varejo;Produto_145;Equipamentos;6; R$ 1.180,62 ; R$ 7.083,72 ;Transferência;Concluída
4293;2024-12-31;2024;12;31;29;Cliente_29;Sudeste;Online;Produto_132;Equipamentos;9; R$ 35,69 ; R$ 321,21 ;Boleto;Pendente
4294;2024-12-10;2024;12;10;321;Cliente_321;Sudeste;Corporativo;Produto_109;Software;3; R$ 977,87 ; R$ 2.933,61 ;Boleto;Cancelada
4295;2024-01-23;2024;1;23;610;Cliente_610;Sudeste;Varejo;Produto_117;Eletrônicos;9; R$ 412,78 ; R$ 3.715,02 ;Transferência;Concluída
4296;2024-04-21;2024;4;21;680;Cliente_680;Sudeste;Atacado;Produto_61;Software;2; R$ 376,48 ; R$ 752,96 ;Boleto;Pendente
4297;2024-12-14;2024;12;14;949;Cliente_949;Sul;Corporativo;Produto_114;Serviços;6; R$ 1.357,52 ; R$ 8.145,12 ;Pix;Cancelada
4298;2024-06-20;2024;6;20;267;Cliente_267;Centro-Oeste;Corporativo;Produto_83;Eletrônicos;7; R$ 1.602,35 ; R$ 11.216,45 ;Boleto;Cancelada
4299;2024-11-27;2024;11;27;143;Cliente_143;Centro-Oeste;Corporativo;Produto_24;Software;1; R$ 613,12 ; R$ 613,12 ;Cartão;Pendente
4300;2024-12-17;2024;12;17;978;Cliente_978;Nordeste;Varejo;Produto_106;Eletrônicos;2; R$ 1.266,51 ; R$ 2.533,02 ;Cartão;Pendente
4301;2024-12-28;2024;12;28;542;Cliente_542;Sul;Corporativo;Produto_70;Equipamentos;7; R$ 798,21 ; R$ 5.587,47 ;Boleto;Cancelada
4302;2024-03-28;2024;3;28;185;Cliente_185;Sudeste;Atacado;Produto_95;Equipamentos;8; R$ 257,02 ; R$ 2.056,16 ;Transferência;Cancelada
4303;2024-06-27;2024;6;27;502;Cliente_502;Nordeste;Corporativo;Produto_147;Software;1; R$ 451,69 ; R$ 451,69 ;Boleto;Pendente
4304;2024-07-13;2024;7;13;668;Cliente_668;Sul;Atacado;Produto_82;Eletrônicos;9; R$ 902,07 ; R$ 8.118,63 ;Transferência;Cancelada
4305;2024-03-31;2024;3;31;192;Cliente_192;Centro-Oeste;Atacado;Produto_77;Equipamentos;1; R$ 1.329,15 ; R$ 1.329,15 ;Transferência;Pendente
4306;2024-07-12;2024;7;12;851;Cliente_851;Norte;Online;Produto_53;Equipamentos;2; R$ 383,16 ; R$ 766,32 ;Boleto;Concluída
4307;2024-08-13;2024;8;13;1174;Cliente_1174;Sudeste;Corporativo;Produto_77;Software;7; R$ 368,59 ; R$ 2.580,13 ;Boleto;Cancelada
4308;2024-11-18;2024;11;18;79;Cliente_79;Centro-Oeste;Online;Produto_101;Equipamentos;10; R$ 650,36 ; R$ 6.503,60 ;Boleto;Concluída
4309;2024-03-15;2024;3;15;127;Cliente_127;Norte;Varejo;Produto_92;Eletrônicos;7; R$ 417,69 ; R$ 2.923,83 ;Transferência;Pendente
4310;2024-12-30;2024;12;30;116;Cliente_116;Norte;Online;Produto_129;Eletrônicos;8; R$ 1.030,63 ; R$ 8.245,04 ;Cartão;Concluída
4311;2024-12-18;2024;12;18;746;Cliente_746;Sul;Atacado;Produto_107;Software;4; R$ 1.749,82 ; R$ 6.999,28 ;Boleto;Pendente
4312;2024-10-05;2024;10;5;335;Cliente_335;Sul;Corporativo;Produto_118;Equipamentos;10; R$ 647,47 ; R$ 6.474,70 ;Cartão;Pendente
4313;2024-10-26;2024;10;26;739;Cliente_739;Norte;Corporativo;Produto_23;Serviços;5; R$ 1.043,32 ; R$ 5.216,60 ;Transferência;Cancelada
4314;2024-10-08;2024;10;8;197;Cliente_197;Nordeste;Corporativo;Produto_3;Eletrônicos;6; R$ 599,03 ; R$ 3.594,18 ;Boleto;Cancelada
4315;2024-02-23;2024;2;23;507;Cliente_507;Nordeste;Atacado;Produto_101;Acessórios;4; R$ 1.556,34 ; R$ 6.225,36 ;Boleto;Pendente
4316;2024-02-02;2024;2;2;537;Cliente_537;Nordeste;Corporativo;Produto_140;Acessórios;7; R$ 59,03 ; R$ 413,21 ;Pix;Concluída
4317;2024-12-20;2024;12;20;737;Cliente_737;Nordeste;Varejo;Produto_135;Software;8; R$ 974,42 ; R$ 7.795,36 ;Boleto;Cancelada
4318;2024-06-29;2024;6;29;767;Cliente_767;Sul;Varejo;Produto_122;Equipamentos;2; R$ 1.450,42 ; R$ 2.900,84 ;Pix;Pendente
4319;2024-04-22;2024;4;22;1143;Cliente_1143;Sudeste;Online;Produto_34;Acessórios;10; R$ 329,89 ; R$ 3.298,90 ;Pix;Cancelada
4320;2024-08-11;2024;8;11;1005;Cliente_1005;Nordeste;Varejo;Produto_39;Serviços;1; R$ 1.741,86 ; R$ 1.741,86 ;Boleto;Cancelada
4321;2024-03-14;2024;3;14;457;Cliente_457;Centro-Oeste;Corporativo;Produto_135;Acessórios;4; R$ 726,49 ; R$ 2.905,96 ;Transferência;Concluída
4322;2024-11-02;2024;11;2;768;Cliente_768;Sul;Online;Produto_125;Serviços;4; R$ 714,48 ; R$ 2.857,92 ;Transferência;Cancelada
4323;2024-05-21;2024;5;21;635;Cliente_635;Sudeste;Online;Produto_9;Equipamentos;8; R$ 546,84 ; R$ 4.374,72 ;Boleto;Cancelada
4324;2024-03-03;2024;3;3;503;Cliente_503;Centro-Oeste;Online;Produto_13;Acessórios;2; R$ 1.521,22 ; R$ 3.042,44 ;Cartão;Cancelada
4325;2024-06-07;2024;6;7;984;Cliente_984;Sudeste;Varejo;Produto_87;Acessórios;6; R$ 818,18 ; R$ 4.909,08 ;Cartão;Cancelada
4326;2024-02-25;2024;2;25;25;Cliente_25;Norte;Corporativo;Produto_125;Acessórios;6; R$ 1.068,96 ; R$ 6.413,76 ;Transferência;Pendente
4327;2024-10-28;2024;10;28;520;Cliente_520;Nordeste;Corporativo;Produto_137;Acessórios;8; R$ 881,78 ; R$ 7.054,24 ;Transferência;Pendente
4328;2024-05-31;2024;5;31;398;Cliente_398;Sul;Online;Produto_63;Serviços;7; R$ 1.575,90 ; R$ 11.031,30 ;Boleto;Pendente
4329;2024-10-20;2024;10;20;910;Cliente_910;Sul;Atacado;Produto_51;Equipamentos;8; R$ 567,47 ; R$ 4.539,76 ;Boleto;Concluída
4330;2024-11-11;2024;11;11;882;Cliente_882;Norte;Online;Produto_1;Serviços;3; R$ 1.013,96 ; R$ 3.041,88 ;Boleto;Pendente
4331;2024-11-23;2024;11;23;595;Cliente_595;Sul;Atacado;Produto_74;Software;4; R$ 1.107,84 ; R$ 4.431,36 ;Cartão;Pendente
4332;2024-01-05;2024;1;5;338;Cliente_338;Sudeste;Varejo;Produto_65;Equipamentos;2; R$ 1.208,57 ; R$ 2.417,14 ;Boleto;Pendente
4333;2024-11-24;2024;11;24;55;Cliente_55;Centro-Oeste;Corporativo;Produto_42;Acessórios;10; R$ 966,84 ; R$ 9.668,40 ;Cartão;Pendente
4334;2024-04-30;2024;4;30;728;Cliente_728;Sul;Corporativo;Produto_5;Acessórios;10; R$ 983,89 ; R$ 9.838,90 ;Pix;Cancelada
4335;2024-08-12;2024;8;12;236;Cliente_236;Sudeste;Corporativo;Produto_60;Equipamentos;10; R$ 1.122,17 ; R$ 11.221,70 ;Transferência;Pendente
4336;2024-09-27;2024;9;27;420;Cliente_420;Centro-Oeste;Online;Produto_135;Equipamentos;10; R$ 893,62 ; R$ 8.936,20 ;Pix;Cancelada
4337;2024-05-05;2024;5;5;710;Cliente_710;Norte;Online;Produto_68;Software;6; R$ 916,31 ; R$ 5.497,86 ;Transferência;Concluída
4338;2024-06-12;2024;6;12;892;Cliente_892;Nordeste;Online;Produto_123;Software;4; R$ 1.691,62 ; R$ 6.766,48 ;Transferência;Pendente
4339;2024-11-23;2024;11;23;990;Cliente_990;Nordeste;Varejo;Produto_37;Serviços;5; R$ 489,27 ; R$ 2.446,35 ;Pix;Cancelada
4340;2024-02-07;2024;2;7;933;Cliente_933;Centro-Oeste;Varejo;Produto_141;Acessórios;8; R$ 751,00 ; R$ 6.008,00 ;Transferência;Pendente
4341;2024-12-08;2024;12;8;765;Cliente_765;Centro-Oeste;Atacado;Produto_33;Serviços;8; R$ 1.193,40 ; R$ 9.547,20 ;Cartão;Cancelada
4342;2024-01-07;2024;1;7;59;Cliente_59;Sudeste;Online;Produto_90;Eletrônicos;1; R$ 660,90 ; R$ 660,90 ;Transferência;Concluída
4343;2024-05-25;2024;5;25;778;Cliente_778;Norte;Online;Produto_146;Eletrônicos;6; R$ 1.110,05 ; R$ 6.660,30 ;Boleto;Pendente
4344;2024-03-05;2024;3;5;621;Cliente_621;Sul;Varejo;Produto_35;Serviços;3; R$ 595,09 ; R$ 1.785,27 ;Boleto;Concluída
4345;2024-04-13;2024;4;13;114;Cliente_114;Sudeste;Atacado;Produto_95;Acessórios;7; R$ 685,74 ; R$ 4.800,18 ;Transferência;Pendente
